code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VND,2024-06-21,15:06:10,HOSE,STOCK,16.7,17.85,15.55,16.7,16.8,16.2,16.2,16.433,16.7,16.8,16.2,16.2,16.433,20131500.0,330823500000.0,130000.0,2210000000.0,-0.5,-0.5,-2.994
MWG,2024-06-21,15:06:10,HOSE,STOCK,63.5,67.9,59.1,63.0,64.7,62.4,63.5,63.689,63.0,64.7,62.4,63.5,63.689,7135200.0,454433150000.0,1100000.0,69477880000.0,0.0,0.0,0.0
FPT,2024-06-21,15:06:10,HOSE,STOCK,133.3,142.6,124.0,133.9,136.1,133.3,136.1,135.198,133.9,136.1,133.3,136.1,135.198,7653300.0,1034712270000.0,0.0,0.0,2.8,2.8,2.1005
VNM,2024-06-21,15:06:10,HOSE,STOCK,66.0,70.6,61.4,66.5,67.1,66.0,66.0,66.385,66.5,67.1,66.0,66.0,66.385,3967700.0,263394360000.0,56000.0,3696000000.0,0.0,0.0,0.0
MWG,2024-06-20,15:06:08,HOSE,STOCK,63.3,67.7,58.9,63.2,63.5,62.5,63.5,63.065,63.2,63.5,62.5,63.5,63.065,5638200.0,355575540000.0,636000.0,38608869000.0,0.2,0.2,0.316
VND,2024-06-20,15:06:08,HOSE,STOCK,16.9,18.05,15.75,16.9,17.1,16.55,16.7,16.773,16.9,17.1,16.55,16.7,16.773,11980400.0,200943035000.0,0.0,0.0,-0.2,-0.2,-1.1834
VNM,2024-06-20,15:06:08,HOSE,STOCK,65.3,69.8,60.8,65.4,66.8,65.2,66.0,66.079,65.4,66.8,65.2,66.0,66.079,4397100.0,290554090000.0,0.0,0.0,0.7,0.7,1.072
FPT,2024-06-20,15:06:08,HOSE,STOCK,131.5,140.7,122.3,133.0,135.7,131.8,133.3,134.214,133.0,135.7,131.8,133.3,134.214,10465700.0,1404641970000.0,595000.0,73037500000.0,1.8,1.8,1.3688
FPT,2024-06-19,15:06:10,HOSE,STOCK,128.0,136.9,119.1,128.0,132.8,126.6,131.5,129.254,128.0,132.8,126.6,131.5,129.254,9669200.0,1249784030000.0,600000.0,71642000000.0,3.5,3.5,2.7344
MWG,2024-06-19,15:06:10,HOSE,STOCK,62.2,66.5,57.9,61.9,63.7,61.6,63.3,62.674,61.9,63.7,61.6,63.3,62.674,7686100.0,481716650000.0,231000.0,14404200000.0,1.1,1.1,1.7685
