code,type,floor,isin,status,companyName,companyNameEng,shortName,shortNameEng,listedDate,companyId,taxCode,delistedDate,indexCode
BAF122029,BOND,HNX,VNBAF1220293,listed,Công ty Cổ phần Nông nghiệp BAF Việt Nam,BAF VIETNAM AGRICULTURE JOINT STOCK COMPANY,Nông nghiệp BAF,BAF Vietnam Agri,2022-12-30,14065,0107795944,,
BAF123020,BOND,HNX,VNBAF1230201,listed,Công ty Cổ phần Nông nghiệp BAF Việt Nam,BAF VIETNAM AGRICULTURE JOINT STOCK COMPANY,Nông nghiệp BAF,BAF Vietnam Agri,2023-11-24,14065,0107795944,,
SSIXXX,BOND,HNX,SSIXXX12345,OTC,,,,,,,,,
VN30F1910,DERIVATIVE,HNX,VNVN30F19108,delisted,Hợp đồng tương lai chỉ số VN30 tháng 10/2019,,,,2019-08-16,78,,2019-10-17,
VN30F2001,DERIVATIVE,HNX,VNVN30F20015,delisted,Hợp đồng tương lai chỉ số VN30 tháng 01/2020,,,,2019-11-22,120,,2020-01-16,
VN30F2108,DERIVATIVE,HNX,VNVN30F21088,delisted,Hợp đồng tương lai chỉ số VN30 tháng 08/2021,,,,2021-06-18,470,,2021-08-19,
GB10F2109,DERIVATIVE,HNX,VNGB10F21094,delisted,Hợp đồng tương lai TPCP kỳ hạn 10 năm tháng 09/2021,,,,2021-06-28,471,,2021-09-24,
GB10F3Q,DERIVATIVE,HNX,,listed,Hợp đồng tương lai TPCP kỳ hạn 10 năm đáo hạn cuối quý thứ 3 gần nhất,,,,2021-06-28,476,,,
VN30F2203,DERIVATIVE,HNX,VNVN30F22037,delisted,Hợp đồng tương lai chỉ số VN30 tháng 03/2022,,,,2021-07-16,477,,2022-03-17,
VN30F2110,DERIVATIVE,HNX,VNVN30F21104,delisted,Hợp đồng tương lai chỉ số VN30 tháng 10/2021,,,,2021-08-20,488,,2021-10-21,
VN30F2111,DERIVATIVE,HNX,VNVN30F21112,delisted,Hợp đồng tương lai chỉ số VN30 tháng 11/2021,,,,2021-09-17,519,,2021-11-18,
VN30F2109,DERIVATIVE,HNX,VNVN30F21096,delisted,Hợp đồng tương lai chỉ số VN30 tháng 09/2021,,,,2021-01-22,403,,2021-09-16,
HPS,STOCK,HNX,VN000000HPS9,delisted,Công ty Cổ phần Đá xây dựng Hòa Phát,Hoa Phat Construction Stone Joint stock Company,,,2006-12-25,1262,0400374458,2016-05-27,
VN30F2401,DERIVATIVE,HNX,VNVN30F24017,delisted,Hợp đồng tương lai chỉ số VN30 tháng 01/2024,,,,2023-11-17,1228,,2024-01-18,
SME,STOCK,HNX,,delisted,Công ty Cổ phần Chứng khoán SME,SME Securities Corporation,,,2010-04-07,2477,0102119760,2012-10-25,
KBT,STOCK,HNX,,delisted,Công ty Cổ phần Gạch ngói Kiên Giang,Kien Giang Brick Tile Joint Stock Company,,,2010-07-29,2759,1700572808,2013-11-28,
